label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,URL,SampleCount,ErrorCount
Samp 1,200,Alright,TG-UsingTCwithGenerateParentSample 1-1,text,true,,0,1,1,null,1,0
Samp 2,200,Alright,TG-UsingTCwithGenerateParentSample 1-1,text,true,,0,1,1,null,1,0
JSR223 Failure Sampler,200,OK,TG-UsingTCwithGenerateParentSample 1-1,text,false,,5,1,1,null,1,1
Samp 4,200,Alright,TG-UsingTCwithGenerateParentSample 1-1,text,true,,0,1,1,null,1,0
Transaction Controller2,200,"Number of samples in transaction : 4, number of failing samples : 1",TG-UsingTCwithGenerateParentSample 1-1,,false,,5,1,1,null,1,1
Transaction Controller1,200,"Number of samples in transaction : 4, number of failing samples : 1",TG-UsingTCwithGenerateParentSample 1-1,,false,,5,1,1,null,1,1
01 Transaction Controller,200,"Number of samples in transaction : 4, number of failing samples : 1",TG-UsingTCwithGenerateParentSample 1-1,,false,,5,1,1,null,1,1
2Samp 1,200,Alright,TG-UsingTCwithGenerateParentSample 1-1,text,true,,0,1,1,null,1,0
2Samp 2,200,Alright,TG-UsingTCwithGenerateParentSample 1-1,text,true,,0,1,1,null,1,0
2Samp 3,666,Error,TG-UsingTCwithGenerateParentSample 1-1,text,true,,0,1,1,null,1,0
2Samp 4,200,Alright,TG-UsingTCwithGenerateParentSample 1-1,text,true,,0,1,1,null,1,0
Transaction Controller3,200,"Number of samples in transaction : 4, number of failing samples : 0",TG-UsingTCwithGenerateParentSample 1-1,,true,,0,1,1,null,1,0
01 Transaction Controller2,200,"Number of samples in transaction : 4, number of failing samples : 0",TG-UsingTCwithGenerateParentSample 1-1,,true,,0,1,1,null,1,0
Samp 1,200,Alright,TG-UsingTCwithGenerateParentSample 1-1,text,true,,0,1,1,null,1,0
Samp 2,200,Alright,TG-UsingTCwithGenerateParentSample 1-1,text,true,,0,1,1,null,1,0
JSR223 Failure Sampler,200,OK,TG-UsingTCwithGenerateParentSample 1-1,text,false,,5,1,1,null,1,1
Samp 4,200,Alright,TG-UsingTCwithGenerateParentSample 1-1,text,true,,0,1,1,null,1,0
Transaction Controller2,200,"Number of samples in transaction : 4, number of failing samples : 1",TG-UsingTCwithGenerateParentSample 1-1,,false,,5,1,1,null,1,1
Transaction Controller1,200,"Number of samples in transaction : 4, number of failing samples : 1",TG-UsingTCwithGenerateParentSample 1-1,,false,,5,1,1,null,1,1
02 Transaction Controller,200,"Number of samples in transaction : 4, number of failing samples : 1",TG-UsingTCwithGenerateParentSample 1-1,,false,,5,1,1,null,1,1
2Samp 1,200,Alright,TG-UsingTCwithGenerateParentSample 1-1,text,true,,0,1,1,null,1,0
2Samp 2,200,Alright,TG-UsingTCwithGenerateParentSample 1-1,text,true,,0,1,1,null,1,0
2Samp 3,666,Error,TG-UsingTCwithGenerateParentSample 1-1,text,true,,0,1,1,null,1,0
2Samp 4,200,Alright,TG-UsingTCwithGenerateParentSample 1-1,text,true,,0,1,1,null,1,0
